lat        ,lng          ,
41.737741  ,-87.734887   ,
41.92537   ,"-87.653914	",
41.809599  ,"-87.600594	",
41.794606  ,"-87.598154	",
41.963902  ,"-87.691207	",
41.952909  ,"-87.787265	",
41.702505  ,"-87.631712	",
41.931781  ,"-87.774770	",
41.909664  ,"-87.742729	",
41.797701  ,"-87.617677	",
41.953584  ,"-87.733504	",
41.780145  ,"-87.683665	",
41.751151  ,"-87.575969	",
42.013755  ,"-87.705536	",
41.775526  ,"-87.631701	",
41.767844  ,"-87.685773	",
42.015043  ,"-87.663381	",
41.850707  ,"-87.634756	",
41.782487  ,"-87.661852	",
41.895896  ,"-87.677913	",
41.774408  ,"-87.703637	",
41.88465   ,"-87.627915	",
41.787671  ,"-87.787742	",
41.868542  ,"-87.639235	",
41.927026  ,"-87.723177	",
41.89769   ,"-87.637212	",
41.775426  ,"-87.696042	",
41.88817   ,"-87.629548	",
41.94451   ,"-87.787524	",
41.858996  ,"-87.713263	",
41.815418  ,"-87.665143	",
41.873076  ,"-87.764600	",
41.808804  ,"-87.751751	",
41.742068  ,"-87.544212	",
41.85561   ,"-87.713894	",
41.771501  ,"-87.587512	",
41.872005  ,"-87.744933	",
41.647039  ,"-87.616098	",
41.954203  ,"-87.748619	",
41.875367  ,"-87.627621	",
41.738921  ,"-87.663145	",
41.941973  ,"-87.787825	",
41.787339  ,"-87.698498	",
41.70607   ,"-87.653646	",
41.807533  ,"-87.692947	",
41.658138  ,"-87.613673	",
41.984278  ,"-87.671012	",
41.873891  ,"-87.656824	",
41.815168  ,"-87.689515	",
41.893109  ,"-87.751953	",
41.812641  ,"-87.639201	",
